Time (seconds),angle_std,angle_medium,angle_median,velocity_std,velocity_medium,velocity_median,acceleration_std,acceleration_medium,acceleration_median,Classification
0,5.244306340938931,84.8027026539605,87.19532098250724,1.3239922827841732,-0.008626001642052,-0.0153672686354866,0.3721276001604982,-0.027700591555888,-0.1474934607841724,direct
1,3.315125535960491,86.81899252638864,87.8349337069117,1.084457290507946,-0.468445331588115,-0.3477415603797702,0.3074450390916675,-0.0639339049036728,-0.0450125568189481,direct
2,5.241235382283212,73.4247661123675,72.950223790069,1.2891421126694922,-0.109646307773914,-0.2700362800423797,0.3221327825970932,0.0817728863636428,0.1873268420182156,direct
3,5.021058431830777,80.13068985786181,80.69761246388872,0.871286325362209,0.2039185531290868,0.4668855448217854,0.1734618775983367,-0.0126016358761948,0.0094364400380548,direct
4,3.4623303809072192,81.13831080078123,79.3700842743977,0.9810107360350546,0.0502033337893123,-0.0419628985053499,0.354295908195162,0.0041786861883838,0.0597308207979967,direct
5,25.16846242723566,45.06477247903522,45.12184336309798,1.8890105851991263,-2.0685441559437576,-1.548229655924671,0.4663702953945887,0.0388659741985203,-0.1339240767752371,direct
6,18.53613398442665,40.90019148520058,32.34418360142023,1.8007731848287107,2.342328346844029,2.3079365381194688,0.5272229157705856,0.0807348645622994,0.2010315467282337,direct
7,1.4265642170982575,87.50211038367392,87.67416486209942,0.4946898544795403,1.5654415451198531,1.4187612229848483,0.287064865811319,-0.5211757967557441,-0.4781022008407483,direct
0,6.071979269455738,80.87446343458741,82.33801807286301,1.8142520584573036,0.265778507765816,0.6217691982172546,0.6691004330492429,-0.0537752232006859,-0.3129464188295072,direct
1,4.837852477437541,83.83372084669968,86.27731356012544,1.3116922279960868,0.0727018620856282,0.2896957787022031,0.3956061532393732,0.0594336414206644,-0.0282431323539125,direct
2,3.643104946875914,86.42968311595844,88.78474016175612,0.6921120365374167,-0.2174584165934102,-0.0256669599434217,0.2972982404071805,-0.026403443399417,-0.0181326479388239,direct
3,17.675905264577278,56.08403995140297,53.094250126325264,2.621063500841714,-0.9021805466737084,-1.243981545221143,0.5158872655859907,0.1422621546655548,0.1015092644651343,direct
4,7.174342533195231,72.61769326432531,72.62707467211258,2.050885316059934,0.6241790614016615,0.9318520911761324,0.935947092918884,-0.2211786227875647,-0.3488493527900944,direct
5,5.939676825307156,80.63238077286105,80.7032972587362,2.1709371843851453,0.3001544028057502,0.1598823841582692,0.9872855189501004,0.1014183074789539,0.2099891543246332,direct
6,7.459779172399767,80.72202693297425,82.53682637541043,2.7398810471099764,0.1108601147291289,0.1157644212496507,1.1552779100823574,-0.0399323766669665,-0.0469221550252889,direct
7,0.5897372020539651,89.04438400830702,89.04664197648665,0.0181824857551243,0.598492516072947,0.5897339600796343,0.0266259711498647,-0.0248532031331276,-0.0165247862594135,direct
0,9.680164924318689,69.58578506133016,73.3023717087616,3.457828891164142,0.2965186093980453,-0.7830706293868701,1.4259853693528692,-0.2541265465660139,-0.4140481320652007,direct
1,21.861815499478425,60.34994078818174,65.59520384926823,3.044816401119303,-2.029529504044101,-2.476344302265151,1.1452828720928032,-0.084142339705971,-0.3374548871331662,direct
2,4.548181437454508,9.932532287721264,9.62764983276918,1.3787108255725438,-0.241825096376177,-0.3286402794008383,0.7675836648279547,0.1222032195863598,-0.1390088864590816,direct
3,9.737521936665766,29.09305421330073,31.859324172509528,1.5598373842533526,1.2054908588468565,1.01966108695226,0.5679894832367461,-0.024357902733609,-0.1796843617093832,direct
4,19.03109431485687,53.72640511738474,43.85040350126182,2.245557723248467,1.2357908972502485,0.4831719931431628,0.5943794822780745,0.0046628737218647,0.0820005348279124,direct
5,18.428679152824337,49.73470483927515,48.90675738304049,4.519308476156505,-1.5550822431566802,-1.3751524387152578,1.7273094338901671,0.0584146683410928,-0.2968590520298683,direct
6,15.303012158546018,31.953640726776165,34.873169561933246,4.985036176741036,0.3320731621327374,0.7020611100505931,2.1419543303114983,0.1544380967416575,0.1454884286017046,direct
7,8.399650718242007,49.05787964767946,48.75484478136151,0.9973379151659126,8.062163294658843,8.395549987392737,0.7784669639158031,1.1302254954173432,0.9546323385777667,direct
0,8.472822266444949,75.15986788520544,75.05861842347038,1.7011285829605312,0.2820184923812833,0.6514411790290193,0.4203389198443156,0.0077138197237519,0.0106437397121519,direct
1,7.298300570863295,75.26124269824686,76.43454779536765,2.594585684273673,-0.7874447212332538,-0.9823505283947525,1.1709627220832377,-0.1008681121094656,-0.2706263004412399,direct
2,9.651884842704336,80.6579128790997,85.35299046966004,1.820562478893455,0.4682143772365277,0.0887876855277802,0.6711803776819956,0.0052159048013574,-0.2302469006996936,direct
3,7.662288807171999,81.56166883472555,83.27311733856014,1.321299021865589,0.3398424364168794,0.718757770165233,0.3874124606307268,0.0908331448735065,-0.0711896563363119,direct
4,16.277263423322307,71.5588869897581,77.4262776578672,4.031436226097059,-0.286250189671961,-0.8846489258018195,1.198099962908122,0.2448173747086106,-0.0908033210337624,direct
5,5.136487506596621,78.58433207458891,78.04507109144706,1.5880683857764686,0.1184313813629051,0.2613561088870035,0.8839190207994141,-0.19044719274395,0.077412204566043,direct
6,5.641127906724693,79.64004702131939,80.96440264127024,2.196036714022032,-0.3209543886115375,-0.2535918641993007,1.1126780611086065,-0.2331769074737409,-0.3252721384623669,direct
7,6.472453354846476,65.31220793458306,65.46848412593239,0.5213194275114293,-6.294967101209553,-6.471038227724847,0.417146363635087,-0.5949211303138758,-0.4985209767969358,direct
0,25.164965179245154,28.997177451977297,24.17400600051593,6.505951418702435,-1.6202321338119623,-0.8905821649131984,2.811531924255767,-0.2100580265721077,-0.0771361612452146,direct
1,12.140764446671886,18.87259556073121,15.61784155906072,4.239243917057012,0.0829018533081104,0.3854749805056334,1.6896145294403169,-0.0478938437728446,0.4909525199974287,direct
2,21.651940118796844,47.12403715857193,58.97489881932456,2.958798060510389,2.0614323240802856,1.3734606599481758,1.169428215607743,0.0244641268163746,0.0605522282729653,direct
3,4.474970571562402,74.0215849384982,73.50968165303041,1.849101164985383,-0.0007070355553452,-0.0122478615095893,0.7800394632280946,-0.0814599913103065,-0.0400502737000785,direct
4,16.861935005076024,38.820479026906725,38.6262674649749,3.740925807021505,-1.7612405035648726,-2.34223735695872,1.7517321784375053,0.2303566708880123,-0.1276614875301631,direct
5,12.188497218103311,20.82410789751369,21.14776672632248,5.600938084442687,0.4218167563849263,0.2651477553045662,2.347052440810484,0.2147509463828111,0.0282736810704897,direct
6,22.54519496319701,42.42886904817623,39.96053274000375,6.724679845146957,2.146354998260364,0.3722401529955021,2.216484967874029,-0.3864523979343001,0.1230284610130993,direct
7,4.37319980415167,84.03978232602404,84.75468700165668,2.1012498267498683,-3.692334196414888,-4.32915234261872,1.2813949927212809,-2.236473443500389,-2.0275842327547053,direct
0,0.5821269618925766,88.94723553011173,88.644280410732,0.1633826396283581,0.0056821620301104,0.0064509775943193,0.0581696438437,-0.0020528462783287,-0.0112337901030343,indirect
1,4.602053754862735,86.22828684627034,89.14663886488259,0.500575652992471,-0.4695943110427222,-0.2502935001528427,0.0946416190750559,-0.0307977944986702,0.0027076767332552,indirect
2,6.756960612269983,77.27849187118721,74.61298417263733,0.8379311482470867,0.4438513268951148,0.5443044576696678,0.1585859401981788,0.0244875872448009,0.0596674988044209,indirect
3,9.679402790098168,80.96344456443461,83.97691617147628,1.8070809807443573,-1.4203137320225068,-0.7389993814251596,0.373688252955616,-0.1095362113533778,-0.0733289867407494,indirect
4,14.868559722214265,68.70708817529052,78.1969445798824,3.115707256546984,1.876095583266585,0.2436737509333421,1.1845013693071853,-0.0406452780443397,0.1609234042668248,indirect
5,15.363184397890882,52.45578873971765,53.87163377489554,5.387014971409172,-0.911844769445324,0.9244209538187986,1.9420190776658843,0.1229063143045531,-0.4367418801675775,indirect
6,2.047830820293082,67.90955264085636,68.08143771878765,0.2290309701823429,0.30473724761365,0.2794787658449387,0.0810058314080537,0.000950502744071,-0.0047669727099197,indirect
7,5.622131575774049,80.13741190095044,79.38104936255698,0.3586748054189512,0.5467755259274182,0.6167920942713145,0.1494218278429042,-0.0382340831015615,-0.0573463248265291,indirect
8,2.2218203606928646,83.19760527200674,82.59416722546229,0.4648872849236746,-0.1127491752555836,-0.0654428807534372,0.0675334748661096,0.0240709667616507,0.0442993240920639,indirect
9,1.5657135996558038,88.6675327054167,89.50887679659567,0.2038866778914487,0.1407455806132453,0.0417988189241817,0.0502353885571095,-0.0064518316316534,-0.0007615562956394,indirect
10,1.5180921501174411,88.18768493658828,88.47156469709591,0.1234281161062911,-0.1264697395192503,-0.1391028771194413,0.0289499805727576,-0.00327954378052,0.0055307044973086,indirect
11,1.194271236151496,87.18647257905405,87.28534362245436,0.0986392253018666,0.1117872686178664,0.0881862966219805,0.0456310092254325,0.0014692559614884,0.0176541259474607,indirect
12,5.337205146036421,82.30484495150985,83.73096672487996,0.4842452560035833,-0.4302176348576627,-0.3987826025817326,0.1524820761030617,0.0356528170540674,-0.0178719915529618,indirect
13,5.393717052717885,80.03579458151616,82.12646519968885,2.042517408772563,0.1348828167513164,0.4098716581363745,0.9395378462785354,-0.1272720140531759,-0.1293831171783068,indirect
14,1.9451910048825831,77.36318549757654,77.36318549757654,0.1264561738466027,-2.800807897876691,-2.800807897876691,0.1513371521499448,0.0697931316811795,0.0697931316811795,indirect
16,20.552151969429985,56.12389134748738,59.04799806933482,2.761224949567743,-2.83142376116096,-3.041672353009377,1.0271885595848418,-0.2480358222366935,-0.2647038025093486,indirect
0,0.8390187205272843,83.69668053307666,83.76504559076292,0.4478923422031376,0.1428715764402914,0.0253510610482798,0.1275277266770993,-0.0571854683787215,-0.0274543074113946,indirect
1,0.8783293951402598,81.40065191037667,81.19750855476425,0.1790332378123538,-0.1185799277836337,-0.1157813335552368,0.0602230499357197,-0.0001086764648481,-0.0042362561258002,indirect
2,8.388554227588052,70.80691221861852,74.4042095094533,1.9144760499402325,-1.327859565388498,-0.7611388403637065,0.5656680845392296,-0.1955748072613717,-0.1359927386623933,indirect
3,23.4374387898548,53.56047938023399,58.34536005905307,6.138616639455565,-0.6565128651547261,-0.0917152617636816,2.237370223753987,0.1706024049274871,0.2075798558124262,indirect
4,19.039567411454133,47.23521958237973,48.68316885944322,5.967952216370743,-0.8136050966028009,-1.4489801701460483,1.6556058927566375,-0.4503932614382255,-0.0571928823111509,indirect
5,23.53039694025038,62.59260140496576,73.02979204694108,2.956697636563818,3.6750165757632103,2.8988186376499705,1.0160146394223926,-0.148162071828484,-0.3943723905244951,indirect
6,8.127968628345652,68.71818304054672,66.61027654417933,0.3476094174976606,-0.962141204411709,-0.9897635330067356,0.1651141321380349,-0.017751011945793,-0.0038147251849682,indirect
7,7.263297583227266,63.418385665631895,66.55820413017447,0.8615065633914099,0.7348484163494894,0.8336135632777495,0.2648523644706765,0.0922232055732704,0.2081383009960697,indirect
8,1.5114178035401622,82.38263028517557,82.60431642129359,0.5730003593331635,0.218525372778438,0.1736459031913959,0.1364948083418565,-0.0504080807564051,-0.0643020133585547,indirect
9,3.432809459492008,82.19196823403082,83.87334478459476,0.3529242603772171,-0.2920397521089503,-0.4455669267264355,0.0846519154162819,-0.0087426077576596,-0.0166436351645415,indirect
10,2.829808541357621,79.4866659266431,79.02932330680409,0.1669973809829509,0.2608040424077138,0.2586079154186436,0.0629065139223929,0.0021236679864323,-0.0079226646719092,indirect
11,0.7515200782436049,83.14238371705636,83.09958750638802,0.1644363366953966,-0.0461734886376954,-0.0315377789590627,0.0558759068880662,-0.0031947069013404,0.0055802310051617,indirect
12,3.16381875412411,78.04162590840991,78.49039787733645,0.470618005581336,-0.4181103003712683,-0.3331175457449831,0.1666171990664856,-0.0725270834580893,-0.0249599108666504,indirect
13,12.869983334493575,53.52851184071677,58.28018642487315,3.9941426591979456,-0.3105473144671633,-1.75284008148045,1.5791891810309824,0.0401729441121864,-0.151748088134235,indirect
14,1.5486419756321006,58.23489267032562,58.23489267032562,0.3431431848324553,-1.916288192702859,-1.916288192702859,0.2364091599407322,-0.6454386838651452,-0.6454386838651452,indirect
16,2.739039813100312,49.68424073143889,50.43558555250295,1.2393317628729783,-0.186973087590773,-0.0719376841746104,0.4668847693712687,0.2131783059782544,0.3382272106423997,indirect
0,3.533125568384658,73.0095639827929,71.23930544906352,1.4982334035563272,-0.1636296369681981,0.2567781588529065,0.3618737467423018,0.1861207002163062,0.0912784102667067,indirect
1,20.56071275267465,73.52755024310422,83.8343002285799,3.697049381786816,-1.990780049713561,-0.0927903268415697,1.2923878251211474,-0.0043695527146853,-0.0662514219184746,indirect
