Time (seconds),angle_std,angle_medium,angle_median,velocity_std,velocity_medium,velocity_median,acceleration_std,acceleration_medium,acceleration_median,Classification
0,9.680164924318687,69.58578506133016,73.3023717087616,3.457828891164142,0.29651860939804536,-0.7830706293868701,1.4259853693528692,-0.25412654656601397,-0.4140481320652007,direct
1,21.861815499478425,60.34994078818174,65.59520384926823,3.044816401119303,-2.029529504044101,-2.476344302265151,1.1452828720928032,-0.08414233970597106,-0.3374548871331662,direct
2,4.548181437454508,9.932532287721264,9.62764983276918,1.3787108255725438,-0.24182509637617708,-0.3286402794008383,0.7675836648279547,0.12220321958635982,-0.13900888645908163,direct
3,9.737521936665766,29.093054213300732,31.859324172509528,1.5598373842533526,1.2054908588468565,1.01966108695226,0.5679894832367461,-0.024357902733609074,-0.17968436170938323,direct
4,19.03109431485687,53.72640511738474,43.85040350126182,2.245557723248467,1.2357908972502485,0.48317199314316284,0.5943794822780745,0.004662873721864716,0.08200053482791245,direct
5,18.428679152824337,49.73470483927515,48.90675738304049,4.519308476156505,-1.5550822431566802,-1.3751524387152578,1.7273094338901671,0.05841466834109289,-0.29685905202986834,direct
6,15.303012158546018,31.953640726776165,34.873169561933246,4.985036176741036,0.33207316213273746,0.7020611100505931,2.1419543303114983,0.1544380967416575,0.1454884286017046,direct
7,8.399650718242007,49.057879647679464,48.75484478136151,0.9973379151659126,8.062163294658843,8.395549987392737,0.7784669639158031,1.1302254954173432,0.9546323385777667,direct
