Frame,Angle (degrees),Classification
261,81.79278358808185,indirect
262,82.13745437784499,indirect
263,82.21071452203832,indirect
264,82.54570118725154,indirect
265,83.13630808537296,indirect
266,84.03166780248307,indirect
267,84.59620863975029,indirect
268,85.1300582837189,indirect
269,85.40574666873361,indirect
270,85.44623202084138,indirect
271,85.42607874009914,indirect
272,85.69824172594092,indirect
273,85.96819890192629,indirect
274,85.98582430458899,indirect
275,86.72232404780974,indirect
276,86.98721249581666,indirect
277,87.49958943562312,indirect
278,88.25675351569421,indirect
279,88.50566640873346,indirect
280,89.01223960036019,indirect
281,89.50608310138125,indirect
282,90.0,indirect
283,89.50608310138124,indirect
284,90.0,indirect
285,90.0,indirect
286,90.0,indirect
287,89.75514773195566,indirect
288,89.75514773195566,indirect
289,89.75409687672929,indirect
290,90.0,indirect
291,89.76027010391915,indirect
292,89.52054860120343,indirect
293,89.52054860120343,indirect
294,89.76027010391914,indirect
295,89.52054860120343,indirect
296,89.28975812293938,indirect
297,89.53419091723501,indirect
298,89.53980283202131,indirect
299,89.53980283202131,indirect
300,89.53980283202131,indirect
301,89.54346958590095,indirect
302,89.7753118203755,indirect
303,89.77792444730655,indirect
304,89.77878187333513,indirect
305,89.77792444730655,indirect
306,89.55757034196053,indirect
307,89.77963270387683,indirect
308,89.77963270387683,indirect
309,90.0,indirect
310,89.56096047431832,indirect
311,89.56429904873225,indirect
312,89.35383439396843,indirect
313,89.1480809350948,indirect
314,88.72696997994329,indirect
315,87.89448581114395,indirect
316,87.90984084628931,indirect
317,87.49229827293375,indirect
318,87.90984084628931,indirect
319,87.48312434306048,indirect
320,86.86649756724042,indirect
321,86.86649756724042,indirect
322,86.65805614273887,indirect
323,86.65805614273887,indirect
324,86.22771639062016,indirect
325,86.21388796461841,indirect
326,86.18592516570963,indirect
327,85.92963362677519,indirect
328,85.91438322002512,indirect
329,85.7161814737273,indirect
330,85.74791417586087,indirect
331,85.74791417586087,indirect
332,85.70013717980792,indirect
333,85.68397248013437,indirect
334,85.68397248013437,indirect
335,85.63474226497206,indirect
336,85.85222346191914,indirect
337,86.02444632739649,indirect
338,86.20078017691765,indirect
339,86.18592516570963,indirect
340,86.12532679643486,indirect
341,86.09430086292788,indirect
342,86.80752738706798,indirect
343,86.80752738706798,indirect
344,87.21858633072485,indirect
345,87.45005098703982,indirect
346,87.6531257075127,indirect
347,87.8875887297709,indirect
348,88.10661415425372,indirect
349,88.10661415425372,indirect
350,88.32236053384652,indirect
351,88.2567535156942,indirect
352,88.24914581345716,indirect
353,88.24147143956088,indirect
354,88.2259191411821,indirect
355,88.46565850029923,indirect
356,88.20206814309947,indirect
357,88.47247455778707,indirect
358,88.96775530843426,indirect
359,88.94397619400245,indirect
360,89.44909602078143,indirect
361,89.71494872241618,indirect
362,89.06080905426442,indirect
363,87.70938995736148,indirect
364,87.05595365001238,indirect
365,87.25738864251839,indirect
366,87.1196224471524,indirect
367,87.27368900609373,indirect
368,87.05355261998768,indirect
369,86.3670492605118,indirect
370,86.82016988013577,indirect
371,85.88181029601122,indirect
372,85.67493956526154,indirect
373,84.70991879462873,indirect
374,84.50767544287257,indirect
375,82.8749836510982,indirect
376,81.70285503016314,indirect
377,81.9509382983255,indirect
378,81.08507304285214,indirect
379,80.1806993612421,indirect
380,78.14022087905202,indirect
381,77.22126681159396,indirect
382,76.79207153722089,indirect
383,75.28492834940224,indirect
384,75.31121322668162,indirect
385,74.96956947656672,indirect
386,73.85566121971652,indirect
387,74.30507585657999,indirect
388,74.30507585657999,indirect
389,75.85765335796732,indirect
390,76.8527576247305,indirect
391,78.15173376158556,indirect
392,79.14358665193775,indirect
393,80.90972307917768,indirect
394,81.54497232282256,indirect
395,81.71059561097434,indirect
396,82.78573796079324,indirect
397,83.8588893831232,indirect
398,84.99935540244158,indirect
399,84.7421908310453,indirect
400,84.32464411483085,indirect
401,83.84815662071445,indirect
402,83.99099404250548,indirect
403,84.62329457194926,indirect
404,84.04589256883499,indirect
405,84.54244651489542,indirect
406,84.40066066347944,indirect
407,81.1317371667924,indirect
408,80.67640822186199,indirect
409,78.80488857370003,indirect
410,63.43494882292201,indirect
411,65.65891006330749,indirect
412,64.02560603756868,indirect
413,68.19859051364818,indirect
414,73.14160123226172,indirect
415,86.63353933657021,indirect
416,83.99099404250548,indirect
417,88.60281897270363,indirect
418,82.23483398157465,indirect
419,89.10482628978893,indirect
420,77.82854179141252,indirect
421,65.22485943116807,indirect
489,72.75854060106002,indirect
490,73.49563861824498,indirect
491,76.7594800848128,indirect
492,83.29016319224306,indirect
493,82.23483398157467,indirect
494,70.70995378081128,indirect
495,75.96375653207353,indirect
496,81.11934084947976,indirect
497,68.19859051364818,indirect
498,77.47119229084849,indirect
499,53.53076560994813,indirect
500,33.690067525979785,indirect
501,38.04704253182609,indirect
502,40.23635830927382,indirect
503,45.0,indirect
504,43.87669728592458,indirect
505,46.2188752351313,indirect
506,18.43494882292201,indirect
507,20.77225468204583,indirect
508,20.136303428248137,indirect
