Time (seconds),angle_std,angle_medium,angle_median,velocity_std,velocity_medium,velocity_median,acceleration_std,acceleration_medium,acceleration_median,Classification
0,2.9492272441439673,81.22708786083895,80.30500366934129,1.1955977427598938,-0.108134755497926,0.29231642337057906,0.32980732288762166,0.13524304355542233,0.0518798653039578,indirect
1,14.016683950858576,75.13864160331741,79.2754885300738,2.9228885784312393,-1.9580139282590145,-0.6034847507238048,0.8546931616554001,-0.1876283462349773,-0.06672410028570926,indirect
2,9.889660544176042,37.117743166896,42.39286447973139,2.8766911587742507,-0.5020222918318389,-0.5459392547522262,1.2088619920222048,0.06439711711577757,-0.20851694294766604,indirect
3,26.35674020458187,29.95764546688398,25.52441983426494,4.684265714405831,1.346770512516636,0.412995457555354,1.13299694726559,0.030368288893881604,0.0756773633547827,indirect
4,7.8928001952518985,20.60525423116227,21.91418051360472,3.065930480384995,-0.18637742070832525,0.7249890593034936,0.7511301278695186,0.3004493615499337,-0.01591856450594575,indirect
5,3.5565081749121554,34.79213471726534,36.39884449888385,1.997829454228396,-0.26165425224517813,-0.19854981847285558,0.5381116308953645,-0.39088370394927074,-0.3536901818750584,indirect
6,15.544910712277352,30.10618296606237,34.856437956655284,2.7974594188160453,0.6509781745707561,0.9426579387974021,0.8497979530310523,0.18363043724261763,0.10327172136523716,indirect
7,12.315089325663903,20.56658072293268,14.157370884372575,3.3873409223178688,0.1241536715061786,0.0340518330543116,0.8241340146446711,0.19253334038313233,0.2656304865571074,indirect
8,9.762314010249758,79.83180847853365,83.78955723259705,2.0825081144279998,1.1733845971135233,0.3476813713160354,0.2508289828329611,-0.2092209437393065,-0.14311905677588393,indirect
9,1.9275784987398796,77.43301793935137,77.49466039692024,0.41772637281353725,-0.09690581393726845,0.13510078288858546,0.07130538271117637,0.019949417957310808,0.0009159204811784,indirect
10,1.9709920541244537,77.51459092711758,78.18024517400782,0.24046907567524434,-0.1101199835283367,-0.0896282820035665,0.054910254004052104,0.006306488033487891,-0.00928180823720475,indirect
11,1.1567505617183802,78.50496772509663,78.59217388333889,0.29761154034613113,0.03705694460480824,-0.0440547635095924,0.05503904897758322,-0.03389974767681776,-0.037812831369516006,indirect
12,16.925320859608142,47.142668154239146,43.425238844074556,3.4217819304007686,-1.18713532898882,-0.6793609862112842,1.1382229888049185,-0.020551974079441607,-0.25972970887069374,indirect
13,11.34019083843367,14.904345615815252,9.777335220871343,2.5875010014424733,-0.5387008922441875,-0.985085827348002,0.6338938315944183,0.17584705357571864,0.09518632550753911,indirect
14,2.192324811522044,28.529882327671388,28.529882327671388,0.3913446724254602,3.332587582611969,3.332587582611969,0.07894941798273883,-0.6017903962037369,-0.6017903962037369,indirect
16,3.9582356374913297,34.56347890951442,33.0352372039512,0.7816227738313483,0.3604445256228682,0.39169368410673666,0.3309784561100713,-0.06545806144611975,-0.10719838675752766,indirect
