Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification
0,5.365646844555261,84.62501456053361,86.78606775438529,74.73216375215829,89.57484134167078,1.3446258793001753,-0.00701363771197,0.0013009635799932,-2.563390355879754,1.9872327392692952,0.367778504902869,-0.0227579297136038,-0.1467983166586783,-0.5677737766354944,0.7511063940163804,direct
1,3.315042369838097,86.81891912279347,87.83492194181319,75.80564810761243,90.36237929442208,1.084394310170718,-0.4683728840505656,-0.3477334562159413,-2.848373392160944,1.0941796132107695,0.3073800405214786,-0.0639349769614838,-0.0449187020744012,-0.6484200435782661,0.4796101022566219,direct
2,5.241235429464459,73.424765983087,72.95022327904334,65.84507648875865,81.22612590478113,1.2891421259599327,-0.1096462954843446,-0.2700362873874233,-2.463497569080559,1.7333925289891925,0.3221328199542226,0.0817729286980625,0.1873268727592005,-0.4425335796641185,0.4305761966614803,direct
3,5.021058431890394,80.13068985782292,80.69761246392312,71.12384031581234,86.46221335983716,0.8712863253833573,0.2039185530615531,0.4668855443111326,-1.1714645753766035,1.1382294304913714,0.1734618776616937,-0.0126016358361351,0.009436440024455,-0.2558335063350085,0.3476089699229447,direct
4,3.462330380907036,81.13831080078133,79.37008427439758,76.79786059587438,88.111519044074,0.9810107360350632,0.0502033337892363,-0.041962898505627,-1.5316740736882792,2.057611088765917,0.3542959081951785,0.0041786861883739,0.0597308207980286,-0.7856639270921697,0.5126662075944779,direct
5,25.168462427235703,45.06477247903524,45.12184336309785,16.18713405558691,78.61512808006928,1.8890105851991312,-2.0685441559437545,-1.5482296559246749,-5.266597967812103,0.4692891325950867,0.4663702953945874,0.0388659741985176,-0.1339240767752638,-0.4670785903566834,1.0610793782713754,direct
6,18.53613398442668,40.90019148520055,32.34418360142025,17.125712320777083,83.44039704804322,1.8007731848287092,2.342328346844034,2.3079365381195167,-0.5493185336624702,5.549750226583644,0.5272229157705915,0.0807348645623005,0.2010315467282328,-0.9768726130803635,0.7014693622955619,direct
7,1.4265642170982635,87.5021103836739,87.67416486209939,85.99732192147631,88.83484436744601,0.4946898544795226,1.565441545119851,1.4187612229848483,1.1606795053466217,2.1168839070280825,0.2870648658113231,-0.5211757967557311,-0.4781022008407305,-0.827343471788236,-0.2580817176382268,direct
0,6.071979269455738,80.87446343458741,82.33801807286301,69.21351670020292,88.72442454262428,1.8142520584573036,0.265778507765816,0.6217691982172546,-3.371852106483466,3.0681629159703974,0.6691004330492429,-0.0537752232006859,-0.3129464188295072,-0.9080640609126752,1.498009344448775,direct
1,4.837852477437541,83.83372084669968,86.27731356012544,74.6523205177224,89.08185780862394,1.3116922279960868,0.0727018620856282,0.2896957787022031,-2.51451122911579,2.0630267226101324,0.3956061532393732,0.0594336414206644,-0.0282431323539125,-0.5818076548109019,0.8564807350141308,direct
2,3.643104946875914,86.42968311595844,88.78474016175612,79.90875222828798,89.56293205643485,0.6921120365374167,-0.2174584165934102,-0.0256669599434217,-1.77625222683276,0.8815427413575065,0.2972982404071805,-0.026403443399417,-0.0181326479388239,-0.5124573512108341,0.6458755074943276,direct
3,17.675905264577278,56.08403995140297,53.094250126325264,33.85379356524772,82.51755412226514,2.621063500841714,-0.9021805466737084,-1.243981545221143,-4.565069766491607,4.282569551881966,0.5158872655859907,0.1422621546655548,0.1015092644651343,-0.7257985574319701,0.8517466375012575,direct
4,7.174342533195231,72.61769326432531,72.62707467211258,57.63157967070537,84.32322071766683,2.050885316059934,0.6241790614016615,0.9318520911761324,-3.559385021603731,3.571557164782025,0.935947092918884,-0.2211786227875647,-0.3488493527900944,-1.7877995024596274,1.83061130639484,direct
5,5.939676825307156,80.63238077286105,80.7032972587362,68.77869919241485,91.65820420257586,2.1709371843851453,0.3001544028057502,0.1598823841582692,-3.008010587604261,5.108098950825479,0.9872855189501004,0.1014183074789539,0.2099891543246332,-1.7670366524666186,2.206593534445865,direct
6,7.459779172399767,80.72202693297425,82.53682637541043,64.16845111620336,90.61091479850374,2.7398810471099764,0.1108601147291289,0.1157644212496507,-4.704080533653226,6.01897790674392,1.1552779100823574,-0.0399323766669665,-0.0469221550252889,-2.0176225268695944,2.246043016331332,direct
7,0.5897372020539651,89.04438400830702,89.04664197648665,88.45352106413758,89.63298898429684,0.0181824857551243,0.598492516072947,0.5897339600796343,0.5863470078101898,0.6193965803290169,0.0266259711498647,-0.0248532031331276,-0.0165247862594135,-0.0546478708705251,-0.0033869522694445,direct
0,9.680164924318689,69.58578506133016,73.3023717087616,49.80692300556464,79.73544966222359,3.457828891164142,0.2965186093980453,-0.7830706293868701,-5.134475721760666,6.486118145695368,1.4259853693528692,-0.2541265465660139,-0.4140481320652007,-2.221669978371345,2.6638060028999035,direct
1,21.861815499478425,60.34994078818174,65.59520384926823,13.628838839766356,87.6572728471328,3.044816401119303,-2.029529504044101,-2.476344302265151,-7.199363383338206,3.492761720187545,1.1452828720928032,-0.084142339705971,-0.3374548871331662,-2.1430529510100254,2.0942738526027043,direct
2,4.548181437454508,9.932532287721264,9.62764983276918,2.905330887857451,17.283232849011615,1.3787108255725438,-0.241825096376177,-0.3286402794008383,-2.224729271123598,1.9956111634045504,0.7675836648279547,0.1222032195863598,-0.1390088864590816,-0.8684494951642718,2.218935836029773,direct
3,9.737521936665766,29.09305421330073,31.859324172509528,4.781561340553552,41.07659743883264,1.5598373842533526,1.2054908588468565,1.01966108695226,-0.9152503925680052,4.249372432980552,0.5679894832367461,-0.024357902733609,-0.1796843617093832,-0.7229943117708792,1.2786031172346937,direct
4,19.03109431485687,53.72640511738474,43.85040350126182,34.02558793376082,79.8703987478036,2.245557723248467,1.2357908972502485,0.4831719931431628,-1.3214189022128302,5.725221096876535,0.5943794822780745,0.0046628737218647,0.0820005348279124,-1.2814167112992365,0.918629009401128,direct
5,18.428679152824337,49.73470483927515,48.90675738304049,22.073023841673628,77.7552459365557,4.519308476156505,-1.5550822431566802,-1.3751524387152578,-9.0929080191285,6.200166284045894,1.7273094338901671,0.0584146683410928,-0.2968590520298683,-2.1251818567299647,3.185890353042651,direct
6,15.303012158546018,31.953640726776165,34.873169561933246,4.225567206993358,54.73599342791391,4.985036176741036,0.3320731621327374,0.7020611100505931,-7.105101613287288,7.951232032127006,2.1419543303114983,0.1544380967416575,0.1454884286017046,-3.4073645079364603,3.397705567214354,direct
7,8.399650718242007,49.05787964767946,48.75484478136151,40.813847093445695,57.60494706823117,0.9973379151659126,8.062163294658843,8.395549987392737,6.94083760971413,8.850102286869664,0.7784669639158031,1.1302254954173432,0.9546323385777667,0.4545522994769264,1.981491848197336,direct
0,8.472822266444949,75.15986788520544,75.05861842347038,63.095463594336685,88.39670631623277,1.7011285829605312,0.2820184923812833,0.6514411790290193,-2.76310097816917,2.608399039881192,0.4203389198443156,0.0077138197237519,0.0106437397121519,-0.5566543758379723,0.9201835327208254,direct
1,7.298300570863295,75.26124269824686,76.43454779536765,61.66532504683018,88.21804500479534,2.594585684273673,-0.7874447212332538,-0.9823505283947525,-4.632962056280952,4.782418946355186,1.1709627220832377,-0.1008681121094656,-0.2706263004412399,-2.3249421975901328,2.0642915951647147,direct
2,9.651884842704336,80.6579128790997,85.35299046966004,61.24752169173048,90.11300455314426,1.820562478893455,0.4682143772365277,0.0887876855277802,-2.9488084663984253,3.4225445618079675,0.6711803776819956,0.0052159048013574,-0.2302469006996936,-0.8668634466486296,1.6432353163413485,direct
3,7.662288807171999,81.56166883472555,83.27311733856014,68.6234960293548,89.9415906064602,1.321299021865589,0.3398424364168794,0.718757770165233,-3.245715513521077,1.9497389212316,0.3874124606307268,0.0908331448735065,-0.0711896563363119,-0.2190565737808576,1.0859037219448844,direct
