Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification
0,1.5490972493045756,78.92616953168421,78.5019450270712,77.87970652812177,85.07521737051539,0.6542229993178877,-0.2276270094854425,0.02643477690546795,-2.137715430171923,0.2213250021868091,0.16271325956472968,0.07484350901270825,0.033316747393788704,-0.1052497814593564,0.4847111640338752,indirect
1,1.1743256095640822,80.2730490813291,79.5834845951143,79.29938953163435,82.37345104863995,0.17964705228889838,0.08531803735814424,0.03050340154598525,-0.2451002601041239,0.437690174414854,0.05929174110132888,-0.010750688367937859,-0.011916400707523402,-0.1059306190283244,0.0962047390288454,indirect
2,9.213840171759427,70.82063736857253,72.92042911847182,44.29995489642127,81.73470885566186,2.028670712735423,-1.3985896554675918,-0.7417703877862287,-8.518690821332264,0.350535980039826,0.6946990121308007,-0.26482836047182806,-0.04870134953615765,-2.2893776642198915,0.5772010597945112,indirect
3,28.691985373873614,48.62994539657165,35.881041882322606,14.140732746763344,96.58221213886328,8.081774113516621,-1.0290905942080457,-2.2418460799169284,-12.586659698752763,14.162098057346334,2.971016351780309,0.23895982559276147,-0.0441394322432011,-4.416133180983895,5.344058272267238,indirect
4,6.282522617094879,19.212345950079936,17.082696670131753,11.582952041582722,29.26079210835656,2.362150883586243,0.09996395067662373,0.028400095462332686,-3.4623501393861,3.55354493390194,1.048608896232814,-0.02812144642845349,0.33462739985495327,-2.013047444135686,1.280834275780823,indirect
5,11.811605792514367,49.28372884407183,52.42909074127586,20.38745507431273,61.245735977691865,3.5598297421268827,1.978878770972774,0.9445839887815808,-2.374630156840002,7.4280366415493795,1.0334806101492113,-0.22926115033025068,0.10638848617218774,-2.0093926765728174,0.8875165728148531,indirect
6,5.633671187627194,62.59102034523567,62.92020719239684,53.89650349642678,73.05235567565092,0.2456990688848612,0.6725019599918849,0.6555381254727362,0.2358120010902951,1.083736096381216,0.11061281312133826,0.005235716449383423,0.03636452080970365,-0.2466173288380932,0.2044051954592554,indirect
7,4.185372608794236,82.76025314381951,84.25318926384978,74.13310243591799,86.99009714950652,0.3257850831731039,0.44325497405034187,0.5121944317391467,-0.0540270408202232,1.0541612173181605,0.057344237105617375,-0.037161251116881386,-0.0335561942833315,-0.1245649412314087,0.0667136565961143,indirect
8,2.4845400844522896,86.13871600705346,86.87858510937282,80.30678785922962,88.93955789693526,0.35584846139424553,-0.22589394778271174,-0.2860922938735264,-0.7132745117560972,0.3975190145621354,0.08680622753190602,-0.011252736378674176,-0.00580512106881765,-0.1743795469653797,0.1423595534275463,indirect
9,2.6026449623209666,81.51754982549643,80.19314334051344,78.40484804172608,84.99040067431247,0.34691484698706926,0.16444185799057182,0.04057851267457475,-0.3058133998891748,0.7768837027476749,0.10119758141342526,0.016461757836845097,0.01864570643429345,-0.1470626883966979,0.1893984181490147,indirect
10,1.9819578359372758,82.8490356462421,82.31528671017949,80.13360854570625,85.64750778413845,0.3203813074816224,-0.09360984974220822,-0.0263769150627375,-0.5585588454935007,0.3962443472392607,0.08710218302947947,-0.007575549132047139,-0.0067534725459416495,-0.128483894374547,0.1622861482743722,indirect
11,1.3026579707262649,79.82812005289858,79.94505478465477,78.08934937103392,82.1777732554968,0.145686759475024,-0.1086245304642015,-0.14349861111516654,-0.2705930854044283,0.2330796142544571,0.035761726167021474,0.011376709713569716,0.012101641764749201,-0.0590512315347524,0.0700061085509986,indirect
12,2.2212273874719273,77.33859008949733,77.79913705893799,69.98666404363715,79.51740602449203,0.5622858573513626,-0.3349159202171523,-0.15295866148429482,-2.054788266103408,0.2157535548136451,0.12735666050727798,-0.07605494870096892,-0.03045238961554015,-0.393838669457228,0.0447651920292706,indirect
13,17.761850410640115,66.55230586224754,63.38621029361548,38.01488069805288,92.40875883497662,5.326968333061954,-0.6837459520408672,-1.6205983480282793,-9.376024429397695,10.35999731184058,1.6731663777417216,-0.16716445565371377,-0.5610450686689452,-2.55183073577102,3.665536236549519,indirect
14,2.937303423516236,42.637144117937574,42.637144117937574,40.56015694876678,44.714131287108366,1.194236876104661,-4.938330898223412,-4.938330898223412,-5.782783891660056,-4.093877904786767,0.330934197189797,1.899828832923586,1.899828832923586,1.6658230179641544,2.1338346478830177,indirect
16,3.8612995903021132,51.096772712779234,52.31080823120013,40.062368180733145,55.1818484743694,1.5791188520120614,0.712838694770964,0.2916452278387762,-1.3374549170378671,4.095165041697776,0.6524042740023801,-0.09983735935713814,-0.0188479858650696,-1.458277799093251,0.8243629803808439,indirect
