Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification
0,8.472822266444949,75.15986788520544,75.05861842347038,63.095463594336685,88.39670631623277,1.7011285829605312,0.28201849238128335,0.6514411790290193,-2.76310097816917,2.608399039881192,0.42033891984431565,0.007713819723751981,0.010643739712151948,-0.5566543758379723,0.9201835327208254,direct
1,7.298300570863295,75.26124269824686,76.43454779536765,61.66532504683018,88.21804500479534,2.594585684273673,-0.7874447212332538,-0.9823505283947523,-4.632962056280952,4.782418946355186,1.1709627220832377,-0.10086811210946565,-0.2706263004412399,-2.3249421975901328,2.0642915951647147,direct
2,9.651884842704337,80.6579128790997,85.35299046966004,61.24752169173048,90.11300455314426,1.8205624788934547,0.4682143772365277,0.08878768552778026,-2.9488084663984253,3.4225445618079675,0.6711803776819956,0.0052159048013574365,-0.2302469006996936,-0.8668634466486296,1.6432353163413485,direct
3,7.662288807171999,81.56166883472555,83.27311733856014,68.6234960293548,89.9415906064602,1.3212990218655887,0.33984243641687945,0.718757770165233,-3.245715513521077,1.9497389212315996,0.3874124606307268,0.09083314487350659,-0.0711896563363119,-0.2190565737808576,1.0859037219448844,direct
4,16.277263423322307,71.5588869897581,77.4262776578672,41.17178710307329,88.73515371197551,4.031436226097059,-0.286250189671961,-0.8846489258018195,-5.105408678636273,9.734087666884813,1.198099962908122,0.24481737470861067,-0.0908033210337624,-2.061857436513709,3.334968048668518,direct
5,5.136487506596621,78.58433207458891,78.04507109144706,72.04216223327394,88.90832036704305,1.5880683857764686,0.11843138136290514,0.26135610888700356,-2.1027468483853724,5.610372793857394,0.8839190207994141,-0.19044719274395008,0.077412204566043,-2.924553326894973,0.4886090785248491,direct
6,5.641127906724693,79.64004702131939,80.96440264127024,67.1949909473526,85.9907605067257,2.1960367140220316,-0.3209543886115375,-0.2535918641993007,-4.367381973483454,3.8532122462601777,1.1126780611086065,-0.2331769074737409,-0.3252721384623669,-2.1060088954252585,2.050933945876565,direct
7,6.472453354846476,65.31220793458306,65.46848412593239,58.76303161118355,71.70510806663324,0.5213194275114293,-6.294967101209553,-6.471038227724847,-6.705452514748842,-5.70841056115497,0.41714636363508706,-0.5949211303138758,-0.4985209767969358,-1.0518281271206966,-0.2344142870239949,direct
