Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification,Landmark,Video Name
0,9.680164924318728,69.58578506133014,73.30237170876148,49.806923005564585,79.73544966222364,3.4578288911641555,0.2965186093980489,-0.7830706293868843,-5.134475721760644,6.4861181456953965,1.4259853693528781,-0.25412654656601724,-0.4140481320651723,-2.2216699783713416,2.6638060028999178,direct,left_wrist,impro_free.MP4
1,21.86181549947845,60.34994078818179,65.5952038492683,13.628838839766338,87.65727284713277,3.044816401119312,-2.0295295040441035,-2.4763443022651472,-7.199363383338229,3.4927617201875805,1.1452828720928108,-0.0841423397059706,-0.33745488713318483,-2.143052951010036,2.0942738526027123,direct,left_wrist,impro_free.MP4
2,4.548181437454517,9.93253228772126,9.627649832769205,2.905330887857417,17.28323284901159,1.3787108255725486,-0.24182509637617775,-0.3286402794008314,-2.2247292711235946,1.9956111634045595,0.7675836648279589,0.12220321958636036,-0.1390088864590835,-0.8684494951642816,2.2189358360297806,direct,left_wrist,impro_free.MP4
3,9.737521936665777,29.093054213300753,31.859324172509574,4.781561340553521,41.0765974388327,1.5598373842533517,1.2054908588468594,1.0196610869522806,-0.9152503925680264,4.249372432980547,0.5679894832367461,-0.024357902733609604,-0.1796843617093833,-0.7229943117708739,1.278603117234705,direct,left_wrist,impro_free.MP4
4,19.03109431485684,53.726405117384736,43.85040350126201,34.02558793376075,79.87039874780348,2.2455577232484463,1.2357908972502498,0.4831719931431451,-1.3214189022128409,5.7252210968764565,0.5943794822780601,0.0046628737218637655,0.08200053482789382,-1.2814167112992116,0.9186290094010818,direct,left_wrist,impro_free.MP4
5,18.42867915282438,49.73470483927519,48.90675738304056,22.073023841673585,77.75524593655577,4.51930847615652,-1.5550822431566862,-1.3751524387152756,-9.092908019128515,6.200166284045961,1.727309433890172,0.05841466834109284,-0.29685905202985774,-2.1251818567299576,3.1858903530426543,direct,left_wrist,impro_free.MP4
6,15.303012158545991,31.953640726776168,34.87316956193313,4.225567206993424,54.73599342791394,4.985036176741038,0.33207316213273697,0.7020611100505789,-7.10510161328727,7.951232032126992,2.141954330311503,0.15443809674165934,0.14548842860168154,-3.4073645079364585,3.397705567214375,direct,left_wrist,impro_free.MP4
7,8.399650718242034,49.05787964767941,48.75484478136145,40.81384709344561,57.60494706823114,0.9973379151659126,8.062163294658871,8.395549987392766,6.940837609714158,8.850102286869692,0.7784669639158046,1.130225495417344,0.9546323385777669,0.45455229947692644,1.9814918481973391,direct,left_wrist,impro_free.MP4
