Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification,Landmark,Video Name
0,0.5821269618925766,88.94723553011173,88.644280410732,88.29413427942012,89.9779177225285,0.16338263962835814,0.005682162030110466,0.00645097759431934,-0.29406173550453474,0.25457688568171477,0.05816964384370014,-0.0020528462783287365,-0.01123379010303438,-0.10055100396659711,0.08685892327306988,indirect,head,Phrase3.mp4
1,4.602053754862735,86.22828684627034,89.14663886488259,75.97383979057443,89.80708088977498,0.500575652992471,-0.46959431104272226,-0.2502935001528428,-1.1397528291084313,0.1731148381361649,0.09464161907505593,-0.03079779449867021,0.0027076767332552265,-0.23290382338124616,0.08334893356541073,indirect,head,Phrase3.mp4
2,6.756960612269983,77.27849187118721,74.61298417263733,69.95637377503242,88.92976520448423,0.8379311482470867,0.4438513268951148,0.5443044576696678,-0.7409458702385052,1.5752240166375202,0.15858594019817887,0.024487587244800935,0.059667498804421015,-0.25456396895608435,0.2605093577253399,indirect,head,Phrase3.mp4
3,9.679402790098168,80.96344456443461,83.97691617147628,52.20128112855639,88.86471919292454,1.8070809807443573,-1.4203137320225065,-0.7389993814251596,-5.716751586397393,-0.07530191596285363,0.37368825295561603,-0.10953621135337788,-0.07332898674074945,-1.3949862404649194,0.7404285574041473,indirect,head,Phrase3.mp4
4,14.868559722214266,68.70708817529052,78.1969445798824,44.23397210439847,82.33347347589371,3.1157072565469837,1.8760955832665855,0.24367375093334215,-1.99182725603948,7.625561915814885,1.1845013693071853,-0.040645278044339705,0.16092340426682486,-2.077867740594776,1.2949657144966982,indirect,head,Phrase3.mp4
5,15.363184397890882,52.45578873971765,53.87163377489554,30.128770671138977,78.50084779726124,5.3870149714091715,-0.911844769445324,0.9244209538187986,-9.88364529375071,5.923394209420309,1.9420190776658843,0.12290631430455311,-0.43674188016757753,-2.585868615047527,3.666207851748597,indirect,head,Phrase3.mp4
6,2.047830820293082,67.90955264085636,68.08143771878765,63.45930906706753,71.97833007741528,0.22903097018234292,0.30473724761365006,0.2794787658449387,-0.07687684342940315,0.692540291929717,0.08100583140805383,0.0009505027440710023,-0.00476697270991977,-0.10342773655295012,0.16968045850804003,indirect,head,Phrase3.mp4
7,5.622131575774049,80.13741190095044,79.38104936255698,72.64321421294987,89.21658227798571,0.35867480541895125,0.5467755259274182,0.6167920942713145,-0.37990718929719236,1.0102347541020507,0.14942182784290434,-0.03823408310156159,-0.05734632482652913,-0.34558612640185515,0.19541819775419356,indirect,head,Phrase3.mp4
8,2.2218203606928646,83.19760527200674,82.59416722546229,80.89047674441126,88.45676789939132,0.4648872849236747,-0.1127491752555836,-0.0654428807534373,-0.7622041272041784,0.5593735189302009,0.06753347486610967,0.0240709667616508,0.04429932409206394,-0.17004808788320247,0.08736667330391157,indirect,head,Phrase3.mp4
9,1.5657135996558038,88.6675327054167,89.50887679659567,85.44368408899084,89.95835879408322,0.20388667789144882,0.14074558061324538,0.0417988189241818,-0.051289422545515606,0.5298683183453576,0.050235388557109614,-0.006451831631653467,-0.000761556295639565,-0.09931358360971387,0.08961595837847369,indirect,head,Phrase3.mp4
10,1.5180921501174411,88.18768493658828,88.47156469709591,85.78960923171392,89.82446380651992,0.12342811610629116,-0.1264697395192504,-0.13910287711944136,-0.3311806641940507,0.04265766479280586,0.02894998057275769,-0.0032795437805200815,0.005530704497308747,-0.06919889066897156,0.032688643445492716,indirect,head,Phrase3.mp4
11,1.194271236151496,87.18647257905405,87.28534362245436,85.68109065548337,89.11783116713474,0.09863922530186663,0.11178726861786643,0.08818629662198063,-0.04808573295458274,0.28005951171304133,0.0456310092254326,0.0014692559614884952,0.01765412594746074,-0.13232954325303936,0.06739046005046134,indirect,head,Phrase3.mp4
12,5.337205146036421,82.30484495150985,83.73096672487996,74.22453384691256,89.10908074625218,0.48424525600358337,-0.4302176348576628,-0.3987826025817327,-1.0381496922562192,0.9477878272227969,0.15248207610306172,0.0356528170540674,-0.01787199155296193,-0.15428098674849977,0.34336084505095243,indirect,head,Phrase3.mp4
13,5.393717052717885,80.03579458151616,82.12646519968885,67.91023398350548,85.68375135396018,2.042517408772563,0.13488281675131641,0.4098716581363746,-3.841067938375396,4.187685637394615,0.9395378462785354,-0.127272014053176,-0.12938311717830686,-1.9105042558087248,1.9990056018925344,indirect,head,Phrase3.mp4
14,1.9451910048825831,77.36318549757654,77.36318549757654,75.98772774732099,78.73864324783209,0.12645617384660274,-2.800807897876691,-2.800807897876691,-2.8902259159265284,-2.711389879826853,0.15133715214994486,0.06979313168117948,0.06979313168117948,-0.03721839484950684,0.1768046582118658,indirect,head,Phrase3.mp4
16,20.552151969429985,56.12389134748738,59.04799806933482,20.406828160186297,79.57489484436532,2.761224949567743,-2.83142376116096,-3.0416723530093774,-6.813406269227432,1.7778351985941114,1.027188559584842,-0.24803582223669354,-0.26470380250934866,-2.018418357672033,1.321649837905106,indirect,head,Phrase3.mp4
