Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification,Landmark,Video Name
0,2.9492272441440033,81.22708786083898,80.3050036693413,77.09411956965151,87.63985536864504,1.1955977427598925,-0.10813475549791272,0.29231642337057195,-3.7833367225530026,0.7077727997800523,0.3298073228876273,0.13524304355542457,0.05187986530397559,-0.21208722286570492,1.0277689584171945,indirect,right_wrist,Phrase3.mp4
1,14.016683950858626,75.13864160331747,79.27548853007383,30.39956264808995,86.37137052365732,2.9228885784312486,-1.9580139282590272,-0.6034847507238865,-9.366766736105816,0.07464424669991132,0.854693161655403,-0.18762834623497796,-0.06672410028570752,-2.056767119563009,2.4788521590342825,indirect,right_wrist,Phrase3.mp4
2,9.889660544176042,37.11774316689595,42.392864479731315,14.289494169768453,47.33491223431378,2.8766911587742574,-0.5020222918318338,-0.5459392547522262,-4.428338196644821,5.369044941911925,1.2088619920222092,0.06439711711577771,-0.20851694294766254,-1.5678017336962302,3.2461972765678517,indirect,right_wrist,Phrase3.mp4
3,26.35674020458189,29.957645466883996,25.524419834264897,-0.5893391954743634,66.9193570925475,4.684265714405842,1.3467705125166338,0.41299545755533984,-8.125886897293643,8.73037251615026,1.13299694726559,0.03036828889388101,0.07567736335478858,-1.5150184348162012,2.2352507882623502,indirect,right_wrist,Phrase3.mp4
4,7.892800195251864,20.60525423116224,21.914180513604677,9.093410110466321,37.28213613682277,3.0659304803849836,-0.18637742070832372,0.7249890593035007,-5.50883310114508,3.183726557069515,0.7511301278695143,0.3004493615499336,-0.015918564505942083,-0.6743491597566047,1.679397117903675,indirect,right_wrist,Phrase3.mp4
5,3.556508174912173,34.792134717265355,36.39884449888383,26.158318711301668,38.53446955723708,1.9978294542283965,-0.2616542522451721,-0.19854981847286446,-5.1393249566201185,2.1283475790154895,0.5381116308953686,-0.3908837039492702,-0.35369018187506196,-1.3626447413739093,0.27634301730925337,indirect,right_wrist,Phrase3.mp4
6,15.544910712277366,30.106182966062388,34.85643795665527,3.92137300022151,48.33240104293382,2.7974594188160493,0.6509781745707561,0.9426579387974239,-5.755912049897919,4.352172579425936,0.8497979530310543,0.18363043724261754,0.10327172136523455,-1.148337608165125,1.9965991151173916,indirect,right_wrist,Phrase3.mp4
7,12.315089325663948,20.566580722932656,14.157370884372526,6.337337992305325,43.657726623075156,3.3873409223178865,0.1241536715061791,0.034051833054322245,-5.421674263814618,5.876070440717601,0.824134014644677,0.19253334038313377,0.26563048655710453,-1.2741588304435503,1.419583885338736,indirect,right_wrist,Phrase3.mp4
8,9.76231401024965,79.83180847853357,83.78955723259686,49.52864654255413,86.70349736228547,2.0825081144280078,1.1733845971135177,0.34768137131608157,-0.6066265984405561,5.79851921030944,0.2508289828329736,-0.20922094373930697,-0.14311905677590353,-0.7141329398279908,0.06549149080225192,indirect,right_wrist,Phrase3.mp4
9,1.9275784987399078,77.43301793935134,77.49466039692007,74.69978940075197,81.57720474877783,0.41772637281353553,-0.09690581393726892,0.13510078288859972,-0.6653685526744084,0.4457492955243296,0.0713053827111786,0.019949417957308667,0.000915920481171284,-0.059085399401013206,0.16209688345402284,indirect,right_wrist,Phrase3.mp4
10,1.9709920541244588,77.5145909271176,78.18024517400792,74.75786600328728,79.68610610127972,0.24046907567524872,-0.11011998352833695,-0.08962828200358786,-0.4803069460891649,0.3156650077699581,0.05491025400405029,0.006306488033487175,-0.00928180823717284,-0.06186986507725578,0.07904345821788183,indirect,right_wrist,Phrase3.mp4
11,1.1567505617184288,78.50496772509665,78.59217388333889,75.75979983067378,79.96627057898742,0.2976115403461477,0.03705694460481297,-0.04405476350957471,-0.6004616985050646,0.4582049086874562,0.05503904897759433,-0.03389974767681731,-0.037812831369546274,-0.1428182454186384,0.056864482608865785,indirect,right_wrist,Phrase3.mp4
12,16.92532085960817,47.1426681542392,43.42523884407466,21.586010017154454,76.36060827739917,3.421781930400784,-1.1871353289888176,-0.6793609862113108,-7.724299955026737,4.771132430620375,1.1382229888049253,-0.02055197407944161,-0.2597297088706787,-1.2963315938542124,2.6952542082603976,indirect,right_wrist,Phrase3.mp4
13,11.340190838433672,14.904345615815224,9.777335220871343,2.750868799330194,40.445759792938574,2.5875010014424804,-0.5387008922441897,-0.9850858273480078,-3.992942849464286,4.591563854127088,0.6338938315944195,0.17584705357572072,0.09518632550753336,-0.7938315599308745,1.0974712214810547,indirect,right_wrist,Phrase3.mp4
14,2.192324811522054,28.52988232767141,28.52988232767141,26.979674586880645,30.080090068462173,0.3913446724254552,3.3325875826119833,3.3325875826119833,3.055865110958716,3.6093100542652508,0.07894941798274008,-0.6017903962037306,-0.6017903962037306,-0.6576160650300573,-0.545964727377404,indirect,right_wrist,Phrase3.mp4
16,3.9582356374913252,34.56347890951451,33.035237203951255,29.724969315607698,40.00600863199935,0.7816227738313711,0.3604445256228563,0.3916936841067331,-0.8794121838765694,1.4499603699754608,0.33097845611007803,-0.06545806144612598,-0.10719838675752946,-0.5890661015278544,0.47239182512199296,indirect,right_wrist,Phrase3.mp4
